t (s),V (mV)
0,15.5699
1.05,15.5165
2.101,15.4931
3.111,15.4526
4.112,15.4083
5.112,15.374
6.112,15.3203
7.111,15.2839
8.112,15.248
9.111,15.1978
10.111,15.1506
11.111,15.1199
12.112,15.0792
13.112,15.033
14.111,14.9998
15.111,14.9481
16.111,14.902
17.112,14.8632
18.111,14.8137
19.111,14.7889
20.111,14.7435
21.112,14.7162
22.111,14.6672
23.112,14.6185
24.111,14.5823
25.112,14.542
26.112,14.5051
27.112,14.476
28.112,14.444
29.111,14.3989
30.111,14.3551
31.111,14.3297
32.111,14.2725
33.111,14.2464
34.111,14.2011
35.111,14.1614
36.112,14.132
37.111,14.0933
38.112,14.0462
39.112,14.0292
40.112,13.9805
41.111,13.9424
42.112,13.8952
43.111,13.851
44.111,13.8255
45.111,13.783
46.112,13.7246
47.111,13.6954
48.112,13.6679
49.111,13.642
50.111,13.589
51.112,13.551
52.111,13.514
53.112,13.4765
54.111,13.4373
55.112,13.4007
56.111,13.3626
57.111,13.3295
58.111,13.2988
59.111,13.2404
60.111,13.2341
61.111,13.2075
62.111,13.1644
63.111,13.1219
64.111,13.0751
65.111,13.0564
66.112,13.0329
67.111,12.9799
68.111,12.9543
69.111,12.9279
70.112,12.8752
71.112,12.8455
72.112,12.8079
73.111,12.7817
74.112,12.7486
75.112,12.7061
76.111,12.6701
77.112,12.645
78.111,12.6119
79.111,12.5694
80.111,12.5521
81.111,12.5107
82.112,12.4845
83.111,12.4312
84.111,12.4112
85.112,12.3756
86.111,12.3318
87.111,12.2863
88.112,12.2538
89.111,12.2424
90.111,12.2069
91.112,12.17
92.111,12.1409
93.111,12.0857
94.112,12.065
95.111,12.035
96.112,12.0128
97.112,11.9697
98.111,11.9416
99.112,11.9038
100.111,11.8724
101.112,11.8235
102.111,11.8
103.111,11.7889
104.112,11.7383
105.111,11.7107
106.112,11.6834
107.111,11.6571
108.112,11.6078
109.111,11.5948
110.112,11.553
111.111,11.5188
112.111,11.4843
113.111,11.4719
114.112,11.4235
115.111,11.3719
116.112,11.3535
117.112,11.3194
118.111,11.2776
119.111,11.2623
120.112,11.2252
121.111,11.1944
122.112,11.1581
123.111,11.1341
124.111,11.1049
125.111,11.0713
126.112,11.0414
127.112,11.0067
128.111,10.9809
129.112,10.9409
130.112,10.9164
131.112,10.8812
132.111,10.8569
133.112,10.8348
134.111,10.809
135.111,10.7713
136.112,10.735
137.111,10.7235
138.111,10.6945
139.111,10.6646
140.112,10.6364
141.111,10.6062
142.11,10.5813
143.11,10.5655
144.11,10.5316
145.11,10.4946
146.111,10.4779
147.11,10.4416
148.11,10.4316
149.111,10.3991
150.11,10.3667
151.11,10.346
152.11,10.3152
153.11,10.2911
154.11,10.2662
155.111,10.2363
156.11,10.232
157.11,10.2033
158.11,10.1707
159.111,10.1368
160.111,10.1164
161.11,10.0829
162.111,10.0658
163.111,10.0439
164.11,10.0086
165.112,9.987
166.112,9.9496
167.111,9.932
168.112,9.9103
169.112,9.8859
170.111,9.8548
171.112,9.8369
172.111,9.8104
173.112,9.7753
174.111,9.7443
175.112,9.7188
176.111,9.7078
177.111,9.6615
178.112,9.6495
179.112,9.6247
180.111,9.5958
181.111,9.5644
182.111,9.5453
183.112,9.5339
184.111,9.5117
185.112,9.4745
186.111,9.4548
187.112,9.43
188.111,9.402
189.111,9.3881
190.112,9.3711
191.112,9.3448
192.111,9.3211
193.112,9.2898
194.112,9.2645
195.112,9.234
196.111,9.2244
197.111,9.1923
198.111,9.166
199.111,9.145
200.112,9.1285
201.111,9.1018
202.112,9.0659
203.111,9.0646
204.112,9.0543
205.111,9.0303
206.112,8.9925
207.112,8.9825
208.111,8.9545
209.111,8.9354
210.112,8.9264
211.111,8.8755
212.112,8.8645
213.112,8.8272
214.111,8.8095
215.111,8.7733
216.112,8.7527
217.111,8.7282
218.111,8.7149
219.111,8.6918
220.111,8.6681
221.111,8.6434
222.111,8.6245
223.112,8.5981
224.111,8.5769
225.112,8.5609
226.111,8.5378
227.111,8.5222
228.111,8.4825
229.111,8.4615
230.111,8.442
231.111,8.4176
232.111,8.3971
233.112,8.3949
234.111,8.3695
235.111,8.3549
236.112,8.3264
237.111,8.3224
238.111,8.2987
239.112,8.2766
240.111,8.2498
241.111,8.2323
242.112,8.1972
243.111,8.0959
244.111,8.1384
245.112,8.1001
246.112,8.0988
247.111,8.0784
248.111,8.0502
249.111,8.0353
250.112,8.013
251.111,8.0073
252.112,7.9901
253.112,7.9737
254.112,7.9457
255.111,7.9338
256.112,7.8969
257.111,7.8916
258.111,7.8598
259.112,7.8449
260.111,7.8262
261.111,7.8034
262.111,7.7873
263.111,7.7612
264.112,7.7404
265.111,7.688
266.112,7.683
267.111,7.6834
268.111,7.6553
269.112,7.6226
270.111,7.621
